                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.5838,                 1.5423,                 1.8562,                0.80404,                0.75399,                0.82907,                 0.4491,                 1.5547,                 1.1988,                 1.8968,             0.00092914,             0.00092914,             0.00092914
                     56,                 1.5748,                 1.5468,                 1.8431,                0.79732,                0.74819,                0.83366,                0.46189,                 1.5421,                 1.2047,                 1.8747,              0.0009197,              0.0009197,              0.0009197
                     57,                 1.5745,                 1.5652,                 1.8429,                0.80771,                0.69353,                0.80387,                0.43098,                 1.5461,                 1.2276,                 1.8756,             0.00091027,             0.00091027,             0.00091027
                     58,                 1.5742,                 1.5165,                 1.8319,                0.73814,                0.78282,                0.82156,                 0.4513,                 1.5303,                 1.2009,                 1.8652,             0.00090084,             0.00090084,             0.00090084
                     59,                 1.5767,                 1.5427,                 1.8478,                0.77298,                0.74272,                0.81511,                0.46307,                 1.5125,                 1.1671,                 1.8464,             0.00089141,             0.00089141,             0.00089141
                     60,                 1.5814,                 1.5375,                 1.8492,                0.79861,                0.75733,                0.82703,                0.45583,                 1.5561,                 1.1565,                 1.9143,             0.00088198,             0.00088198,             0.00088198
                     61,                 1.5591,                 1.4921,                 1.8188,                0.79323,                0.75889,                0.82586,                0.45874,                 1.5106,                  1.167,                 1.8466,             0.00087255,             0.00087255,             0.00087255
                     62,                 1.5615,                 1.4755,                 1.8227,                0.80193,                0.71388,                0.81624,                  0.463,                 1.4692,                   1.19,                 1.8445,             0.00086312,             0.00086312,             0.00086312
                     63,                 1.5479,                 1.4839,                 1.8104,                0.78365,                0.75633,                0.82227,                0.45465,                 1.5261,                 1.1494,                 1.8831,             0.00085368,             0.00085368,             0.00085368
                     64,                  1.556,                 1.4785,                 1.8184,                0.79623,                0.78844,                0.84488,                 0.4717,                   1.51,                 1.1228,                 1.8591,             0.00084425,             0.00084425,             0.00084425
                     65,                  1.531,                 1.4611,                 1.7999,                0.80571,                0.76148,                0.84257,                0.46241,                 1.5121,                 1.1103,                  1.842,             0.00083482,             0.00083482,             0.00083482
                     66,                 1.5618,                 1.4968,                 1.8146,                0.73954,                0.78533,                0.82522,                0.46392,                 1.4848,                 1.1643,                 1.8278,             0.00082539,             0.00082539,             0.00082539
                     67,                 1.5274,                 1.4651,                 1.8034,                0.77193,                0.73754,                 0.8263,                0.45982,                  1.483,                 1.1985,                 1.8203,             0.00081596,             0.00081596,             0.00081596
                     68,                 1.5401,                 1.4673,                 1.8119,                  0.802,                0.76396,                 0.8367,                0.48093,                 1.4649,                 1.1134,                 1.8174,             0.00080653,             0.00080653,             0.00080653
                     69,                 1.5438,                 1.4541,                 1.8088,                   0.84,                0.73473,                0.84773,                0.47873,                 1.4786,                 1.1114,                 1.8185,              0.0007971,              0.0007971,              0.0007971
